X,CH1,CH2,
Second,Volt,Volt,
1.15812e-01,4.12e-02,7.44e+00,
1.15813e-01,4.04e-02,7.36e+00,
1.15814e-01,4.12e-02,7.44e+00,
1.15815e-01,4.12e-02,7.36e+00,
1.15816e-01,4.08e-02,7.44e+00,
1.15817e-01,4.12e-02,7.36e+00,
1.15818e-01,4.12e-02,7.36e+00,
1.15819e-01,4.12e-02,7.36e+00,
1.15820e-01,4.04e-02,7.44e+00,
1.15821e-01,4.08e-02,7.36e+00,
1.15822e-01,4.12e-02,7.36e+00,
1.15823e-01,4.08e-02,7.44e+00,
1.15824e-01,4.04e-02,7.44e+00,
1.15825e-01,4.12e-02,7.36e+00,
1.15826e-01,4.12e-02,7.36e+00,
1.15827e-01,4.12e-02,7.44e+00,
1.15828e-01,4.12e-02,7.36e+00,
1.15829e-01,4.12e-02,7.36e+00,
1.15830e-01,4.12e-02,7.36e+00,
1.15831e-01,4.08e-02,7.36e+00,
1.15832e-01,4.08e-02,7.36e+00,
1.15833e-01,4.12e-02,7.36e+00,
1.15834e-01,4.12e-02,7.36e+00,
1.15835e-01,4.12e-02,7.44e+00,
1.15836e-01,4.08e-02,7.36e+00,
1.15837e-01,4.12e-02,7.36e+00,
1.15838e-01,4.08e-02,7.36e+00,
1.15839e-01,4.12e-02,7.44e+00,
1.15840e-01,4.12e-02,7.36e+00,
1.15841e-01,4.12e-02,7.36e+00,
1.15842e-01,4.08e-02,7.36e+00,
1.15843e-01,4.12e-02,7.36e+00,
1.15844e-01,4.12e-02,7.44e+00,
1.15845e-01,4.12e-02,7.36e+00,
1.15846e-01,4.04e-02,7.36e+00,
1.15847e-01,4.12e-02,7.36e+00,
1.15848e-01,4.12e-02,7.36e+00,
1.15849e-01,4.08e-02,7.44e+00,
1.15850e-01,4.12e-02,7.36e+00,
1.15851e-01,4.12e-02,7.36e+00,
1.15852e-01,4.04e-02,7.36e+00,
1.15853e-01,4.08e-02,7.36e+00,
1.15854e-01,4.12e-02,7.36e+00,
1.15855e-01,4.12e-02,7.36e+00,
1.15856e-01,4.08e-02,7.36e+00,
1.15857e-01,4.08e-02,7.36e+00,
1.15858e-01,4.16e-02,7.36e+00,
1.15859e-01,4.08e-02,7.36e+00,
1.15860e-01,4.04e-02,7.28e+00,
1.15861e-01,4.12e-02,7.36e+00,
1.15862e-01,4.12e-02,7.36e+00,
1.15863e-01,4.08e-02,7.36e+00,
1.15864e-01,4.08e-02,7.36e+00,
1.15865e-01,4.12e-02,7.36e+00,
1.15866e-01,4.12e-02,7.36e+00,
1.15867e-01,4.08e-02,7.36e+00,
1.15868e-01,4.12e-02,7.36e+00,
1.15869e-01,4.12e-02,7.28e+00,
1.15870e-01,4.12e-02,7.28e+00,
1.15871e-01,4.08e-02,7.28e+00,
1.15872e-01,4.08e-02,7.28e+00,
1.15873e-01,4.12e-02,7.28e+00,
1.15874e-01,4.12e-02,7.28e+00,
1.15875e-01,4.12e-02,7.28e+00,
1.15876e-01,4.08e-02,7.28e+00,
1.15877e-01,4.12e-02,7.28e+00,
1.15878e-01,4.12e-02,7.28e+00,
1.15879e-01,4.04e-02,7.28e+00,
1.15880e-01,4.04e-02,7.28e+00,
1.15881e-01,4.12e-02,7.28e+00,
1.15882e-01,4.08e-02,7.28e+00,
1.15883e-01,4.04e-02,7.20e+00,
1.15884e-01,4.12e-02,7.28e+00,
1.15885e-01,4.12e-02,7.28e+00,
1.15886e-01,4.04e-02,7.28e+00,
